Name,Start,End,Tclocation
Apapa liver pool jetty > Apapa-Oworonshoki,"6.440107433913489, 3.3593136817406934","6.448521535755416, 3.318964743521552",17
Apapa-Oworonshoki >Apapa liver pool jetty,"6.448404453801933, 3.318892902548882","6.439673076844791, 3.359141102369648",17
Wharf RD > Apapa RD,"6.441752158403517, 3.3776824506521455","6.476271910800707, 3.364537332041848",18
Apapa rd > Wharf rd,"6.4763194186050965, 3.364408382287078","6.44166005143579, 3.3775670745557873",18
UNIVERSITY RD > akoka rd,"6.517855055686181, 3.3847367536370254","6.547172945889579, 3.394634495669271",87
Akoka rd > University rd,"6.547270870139434, 3.3946359499898144","6.517839785320483, 3.38464985798461",87
Wharf RD > Apapa RD,"6.441752158403517, 3.3776824506521455","6.476271910800707, 3.364537332041848",19
Apapa rd > Wharf rd,"6.4763194186050965, 3.364408382287078","6.44166005143579, 3.3775670745557873",19
BADAGRY EXPRESSWAY > F265 INTERCHANGE,"6.476380742454633, 3.364463888854449","6.460039996838894, 3.314921005253006",20
F265 INTERCHAGE > BADAGRY EXPRESSWAY,"6.45973749816605, 3.3146883139662027","6.476214949912786, 3.3644857036625875",20
TAR SOUTH > TAR NORTH,"6.46251525040226, 3.394950810387271","6.547656992243479, 3.3975220491064446",88
TAR North > Tar South,"6.547494108342717, 3.3972544541266214","6.4624105393232005, 3.39478210920434",88
Ozumba > Maroko,"6.437349687734516, 3.408185127324193","6.436639979309766, 3.440773542040953",25
Maroko > Ozumba,"6.436826132339209, 3.4407997198107205","6.43749511978877, 3.408179310042025",25
Alfred >  Akin,"6.45988583886139, 3.432832951878803","6.422794847744995, 3.4238976064655677",26
Akin > Alfred,"6.422823934155845, 3.423996500262459","6.459717137678463, 3.432943480240035",26
Ring road 1,"6.464946874349362, 3.394898454847745","6.456034798064809, 3.38049486419464",21
Ring rd 2,"6.4568841212616395, 3.380250538343497","6.464917787938515, 3.3946366771500918",21
Awolowo West > Awolowo East,"6.4436149006317, 3.40448533586403","6.444481675675041, 3.4266840846250357",23
Awolowo East > Awolowo West,"6.444545665778914, 3.4266753587017797","6.443699251223167, 3.40447370129969",23
Ring Rd > 3MB,"6.447553200660842, 3.4075626781320003","6.474964234246235, 3.3904598685519787",22
3MB > Ring Rd,"6.474876975013684, 3.3902591723171107","6.447675363586415, 3.4074230633599174",22
Ahmadu Bello Way > New Marina Rd,"6.422556339176034, 3.419086714110919","6.4410262100660205, 3.4029844770641526",24
New Marina Rd > Ahmadu Bello Way,"6.441061113759042, 3.402402748847145","6.42243417625046, 3.419424116476784",24
Gerrad > Osborne,"6.45619768196558, 3.444787466738312","6.4587107478630505, 3.4116173238045433",27
Osborne > Gerrad,"6.458542046680121, 3.411623141086712","6.45608715360435, 3.44474674576312",27
Ademola > Ahmadu,"6.429746499938252, 3.4299301280759398","6.422140403500878, 3.4121932347393815",37
Ahmadu > Ademola,"6.422051689947783, 3.4121786915339576","6.429971919622342, 3.4300668342069383",37
Admirality way > Alexander AV,"6.447926961040278, 3.4701420910765863","6.454651739228885, 3.446896231524967",28
